description,code,source,simple,congenital
implantation of intracochlear prosthesis,73210,read2,ci,
implantation of extracochlear prosthesis,73211,read2,ci,
implantation of intracochlear prosthesis,73210,read3,ci,
implantation of cochlear implant  intracochlear,73210,read3,ci,
implantation of extracochlear prosthesis,73211,read3,ci,
implantation of cochlear implant  extracochlear,73211,read3,ci,
adjustment of cochlear implant processor,Xa4i2,read3,ci,
cochlear implant,Xa9RA,read3,ci,
referral to cochlear implant service,XaAeX,read3,ci,
referral to adult cochlear implant service,XaAeY,read3,ci,
referral to paediatric cochlear implant service,XaAeZ,read3,ci,
cochlear prosthesis procedure,XaB9W,read3,ci,
cochlear implant service,XaC67,read3,ci,
adult cochlear implant service,XaC68,read3,ci,
paediatric cochlear implant service,XaC69,read3,ci,
insertion of auditory implant to brainstem,XaIOD,read3,ci,
removal of hearing implant from external ear,73086,read2,ci,
removal of hearing implant from middle ear,7317E,read2,ci,
removal of cochlear prosthesis,73212,read2,ci,
removal of cochlear prosthesis,73218,read2,ci,
cochlear prosthesis   attention  or  removal ,73212,read3,ci,
removal of cochlear prosthesis,73212,read3,ci,
removal of cochlear prosthesis,X00hV,read3,ci,
removal of cochlear implant,X00hV,read3,ci,
removal of bone anchored hearing aid,XaBIi,read3,ci,
removal of hearing implant from external ear,XaLNc,read3,ci,
removal of hearing implant from middle ear,XaLNj,read3,ci,
insertion of auditory implant to brainstem,70073,read2,ci,
attention to cochlear prosthesis,XE0Bq,read3,ci,
attention to cochlear implant,XE0Bq,read3,ci,
hearing aid,V532,icd9,ha,
adjustment and management of implanted hearing device,Z453,icd10,ha,
fitting and adjustment of hearing aid,Z461,icd10,ha,
presence of external hearing aid,Z974,icd10,ha,
hearing aid problem,1C17.,read2,ha,
hearing aid worn,2DG..,read2,ha,
uses hearing loop,2DH0.,read2,ha,
does use hearing aid,2DH1.,read2,ha,
placement of hearing implant in external ear,73084,read2,ha,
attention to hearing implant in external ear,73085,read2,ha,
insertion of bone anchors for subcutaneous bone anchored hearing aid,7311A,read2,ha,
placement of hearing implant in middle ear,7317C,read2,ha,
attention to hearing implant in middle ear,7317D,read2,ha,
attachment of bone anchored hearing prosthesis,7319,read2,ha,
